nama_produk,harga,kategori,kota
SanDisk Memory Card 32/64/128/256GB CLASS 10 100Mbps Micro SD Kartu Memori sd card Free AdapteR,59000,Memory Card,N/A
SanDisk memory card hp sandisk kartu memory card 32gb 64gb 128gb 256gb 512gb original micro sd card,33000,Memory Card,N/A
Flashdisk SANDISK CZ73 USB 3.0 32GB/64GB/128GB Ultra Flair Pen Drive Memory Stick USB Flash Drive U Disk,55000,Flashdisk,N/A
Kartu memori card Sandisk Ultra SDXC UHS-I Card / SD Card Class 10 80MBps - 32GB 64GB 128GB 100% ORI,72000,Memory Card,N/A
Sandisk Flashdisk OTG Type C hp 32GB 64GB 128GB SanDisk Dual Drive USB 3.1,59000,Flashdisk,N/A
SANDISK SDHC Kartu SD SanDisk Extreme PRO 32GB 64GB 128GB 95MB / S U3 Kartu Memori Kamera Portabel,60000,Memory Card,N/A
SANDISK FLASHDISK OTG TYPE C USB 32GB/64GGB/128GB FLASH DRIVE ULTRA DUAL USB 3.1 Flashdisk hp dan laptop,69000,Flashdisk,N/A
SanDisk Extreme PRO micro sd 32/64/128/256GB A2 Kelas 10 kartu UHS-I U3 170MB/s memory card hp ori Kartu memori TF mikro,50000,Memory Card,N/A
Pompa Mobil Portable Inflator Pompa Ban Mobil Elektrik LCD Pompa Mobil,199000,Peralatan & Perkakas Mobil,N/A
2022 new 36/48Water Color Set - Alat Cat Air Set,99000,Crayon,N/A
2022 new Electric Foot Grinder Machine Penghalus Tumit Kaki Roller,199000,Alat Manikur & Pedikur,N/A
NEW  CCTV Bohlam IP CAM CAMERA V380 PTZ MINI 8MP CCTV HASIL TERJAMIN BAGUS,340000,CCTV,N/A
Comfortable Premium Quality Gaming Chair Kursi bangku,1380000,Kursi & Meja Gaming,N/A
Stand Phone Live Show Lipat Multi Fungsi Ring Light LED,398000,Aksesoris Lainnya,N/A
Portable Wireless Lavalier Microphone untuk iPhone dan Android Mikrofon Mini untuk Perekaman Video dan Audio Streaming Langsung untuk Video Game,380000,Sound System & Rekaman,N/A
Kaca Pembesar Layar Smartphone 3D HD  Pembesar Layar HP,75000,Spare Part & Tools Handphone,N/A
HW12 IWO 13 Smart watch Series 6 Bluetooth Call Customize Watch Wajah Berlaku Android iOS,350000,Elektronik Lainnya,N/A
Logitech Pebble Wireless Bluetooth Mouse M350 Garansi 1 bulan &ori&,279000,Mouse,N/A
Yuwell YU300 Home Care Oxygen Concentrator Yu 300 Oksigen Konsentrator,11200000,Alat Bantu Kesehatan,N/A
Minyak esensial beraroma mawar udara segar minyak esensial berbagai rasa minyak aromaterapi 10 ML,8000,Essential Oil,N/A
aromatherapy oil 10ml humidifier essensial oil diffuser fragrance oil 6pcs,69000,Essential Oil,N/A
Kodak M35 Point & Shoot Film Analog Camera 35mm Analog Camera Garansi toko 1 bulan,340000,Kamera Analog,N/A
Philips LED Bulb 14.5W E27 6500K 230V Putih 1PCS Hemat energy Bohlam,49000,Lampu & Alat Penerangan,N/A
Philips MultiPack MyCare LedBulb 12W 4pcs 6500K Putih,139000,Lampu & Alat Penerangan,N/A
mesh nebulizer ultrasonic Inhaler mini portabel untuk alat bantu pernapasan alat terapi pernafasan,359000,Alat Bantu Kesehatan,N/A
ORIGINAL 100 & Stok Tersedia & Humidifier Air Humidifier Diffuser Aromaterapi Ultrasonik Diffuser Aromaterapi 300ML&500ML,118000,Essential Oil,N/A
Air Purifier Kalung Pembersih Udara 120 Juta Negatif Ion Negatif Tanpa Radiasi Untuk Anak,299000,Air Purifier,N/A
mini PORTABLE MESH NEBULIZER   MESH NEBULIZER   ALAT UAP PERNAFASAN   ALAT UAP NEBULIZER,245000,Alat Bantu Kesehatan,N/A
Kipas Angin Portable 2000mAh Mini Fans Usb Rechargeable Pocket Desk Handheld Fan Garansi Resmi,113000,Unit Kipas Angin,N/A
Lavender penyegar udara minyak esensial aroma diffuser humidifier 10ml-rose,8000,Unisex,N/A
KAMERA CCTV LAMPU IP WIRELESS 2 MP PANORAMA FISHEYE V380 A9,195000,CCTV,N/A
WIFI Repeater 300Mbps Wireless WiFi Signal Range Extender 802.11N B G Wifi Access Point,174000,Network Tools,N/A
PeriPage Mini Pocket Wireless BT Thermal Printer Picture Photo Label Memo Receipt Paper,386000,Pos Thermal Printer,N/A
Headphone Wireless Cat Ear LED CT 86  Cat Ear Noise Cancelling Headphone Bluetooth 5.0,157000,Headset (Earphone),N/A
Portable Bluetooth DVD   CD Player  Wall-Mounted DVDs Player Dual Pull Switch Music Player Dukunga,715000,"CD, VCD, DVD, Blu-Ray Player  ",N/A
Portable Car Tire Air Pumps Intelligent Electric Air Compressor Tire Inflator Digital Dial Display,205000,Mesin Kompresor,N/A
E68 Mini RC Drone 4K HD Camera WIFI FPV APP Controle Quadcopter Selfie Quadrocopter Helikopter,389000,Remote Control,N/A
Alat Cek Pengukur Tekanan Tensi Darah Digital Tensimeter Sphygmomanometer Blood Pressure Monitor,194000,Timbangan & Alat Ukur Kesehatan,N/A
PAKET KEYBOARD GAMING MOUSE GAMING USB 1 set keyboard Mouse,88000,Keyboard,N/A
Huion 420 H420 Art Graphic Drawing Design Signature Osu Tablet,360000,Aksesoris Lainnya,N/A
IP CAMERA V380 MINI 2MP FULL HD 960P WIRELESS CCTV WIFI SNOWMAN AP MODE WIFI CCTV,199000,CCTV,N/A
IP Camera Wifi CCTV V380 HD960P Q6 Wireless IP Kamera APP Control Baby CCTV,179000,CCTV,N/A
Kacamata Sunglass Mewah Mercedes Benz Aviator Pilot Premium Mirror,64000,Kacamata,N/A
Gaming Mouse Razer Deathadder 6400dpi 3.5G Original,109000,Mouse,N/A
IP Kamera CCTV Yoosee Wireless IP Camera HD 1080P 3 Antena,205000,CCTV,N/A
Smart Camera Wifi V380 Q6 HD960P Wireless Mini IP CCTV Phone Audio,179000,CCTV,N/A
IP CAMERA CCTV BOHLAM V380 A9 WIRELESS WIFI 960P,185000,CCTV,N/A
Humidifier Aroma Diffuser Aromatheraphy 7 LED Light Original Import,118000,Home Stuff,N/A
Pompa ASI Double Breast Pump Electric  Elektrik Merk REAL BUBEE,124000,Feeding & Nursing,N/A
Pompa ASI Double Breast Pump Electric Elektrik Merk REAL BUBEE,124000,Feeding & Nursing,N/A
